source,target,weight
嘉定新城,马陆,3397.739032
马陆,陈翔公路,4441.378667
陈翔公路,南翔,2291.057501
南翔,桃浦新村,3663.906514
桃浦新村,武威路,1937.855019
武威路,祁连山路,1470.776665
祁连山路,李子园,1606.897675
李子园,上海西站,1568.992059
上海西站,真如,1836.651574
真如,枫桥路,1240.676141
枫桥路,曹杨路,942.0378756
曹杨路,隆德路,1149.002009
隆德路,江苏路,1569.017952
江苏路,交通大学,2457.992665
交通大学,徐家汇,1074.805114
徐家汇,上海游泳馆,2094.769879
上海游泳馆,龙华,1598.589174
龙华,云锦路,1179.673852
云锦路,龙耀路,924.810988
龙耀路,东方体育中心,2530.915183
东方体育中心,三林,3979.167252
三林,三林东,1365.551465
三林东,浦三路,1878.169948
浦三路,御桥,3649.858603
御桥,罗山路,2984.354062
罗山路,秀沿路,2110.962428
秀沿路,康新公路,2668.35767
康新公路,迪士尼,5903.927411
迪士尼,康新公路,5903.927411
康新公路,秀沿路,2668.35767
秀沿路,罗山路,2110.962428
罗山路,御桥,2984.354062
御桥,浦三路,3649.858603
浦三路,三林东,1878.169948
三林东,三林,1365.551465
三林,东方体育中心,3979.167252
东方体育中心,龙耀路,2530.915183
龙耀路,云锦路,924.810988
云锦路,龙华,1179.673852
龙华,上海游泳馆,1598.589174
上海游泳馆,徐家汇,2094.769879
徐家汇,交通大学,1074.805114
交通大学,江苏路,2457.992665
江苏路,隆德路,1569.017952
隆德路,曹杨路,1149.002009
曹杨路,枫桥路,942.0378756
枫桥路,真如,1240.676141
真如,上海西站,1836.651574
上海西站,李子园,1568.992793
李子园,祁连山路,1606.897675
祁连山路,武威路,1470.776665
武威路,桃浦新村,1937.855019
桃浦新村,南翔,3663.906514
南翔,陈翔公路,2291.057501
陈翔公路,马陆,4441.378667
马陆,嘉定新城,3397.739032
嘉定新城,白银路,2232.555567
白银路,嘉定西,4605.14888
嘉定西,嘉定北,2271.195345
迪士尼,康新公路,5903.927411
康新公路,秀沿路,2668.35767
秀沿路,罗山路,2110.962428
罗山路,御桥,2984.354062
御桥,浦三路,3649.858603
浦三路,三林东,1878.169948
